"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the first product can be added to the cart.","1152","should add first item to cart and verify in cart","SauceDemo","2025-12-23","passed","2025-12-23","Add Item to Cart","Cart Tests","",""
"Verifies that product details (name, price) are preserved when added to the cart.","853","should add item to cart and verify item details","SauceDemo","2025-12-23","passed","2025-12-23","Add Item to Cart","Cart Tests","",""
"Verifies that multiple products can be added to the cart simultaneously.","944","should add multiple items to cart","SauceDemo","2025-12-23","passed","2025-12-23","Add Item to Cart","Cart Tests","",""
"Verifies that a product can be removed from the cart.","867","should remove item from cart","SauceDemo","2025-12-23","passed","2025-12-23","Remove Item from Cart","Cart Tests","",""
"Locked out users are blocked from accessing the application.","693","should display error message with locked out user","SauceDemo","2025-12-23","passed","2025-12-23","Sign In to the Store > Blocked Sign In","Login Tests","",""
"Users with valid credentials can access their account.","827","should successfully login with valid credentials","SauceDemo","2025-12-23","passed","2025-12-23","Sign In to the Store","Login Tests","",""
"Verifies that a specific product can be added to the cart by its name.","887","should add item to cart by name and verify","SauceDemo","2025-12-23","passed","2025-12-23","Add Item to Cart","Cart Tests","",""
"The application rejects sign-in attempts with incorrect username or password.","689","should display error message with invalid credentials","SauceDemo","2025-12-23","passed","2025-12-23","Sign In to the Store > Invalid Sign In","Login Tests","",""
"The application requires a username to be entered before signing in.","661","should display error message with empty username","SauceDemo","2025-12-23","passed","2025-12-23","Sign In to the Store > Invalid Sign In","Login Tests","",""
"The application requires a password to be entered before signing in.","691","should display error message with empty password","SauceDemo","2025-12-23","passed","2025-12-23","Sign In to the Store > Invalid Sign In","Login Tests","",""
